Model,MMLU_EM,BoolQ_EM,NarrativeQA_F1,NaturalQuestions_(closed-book)_F1,NaturalQuestions_(open-book)_F1,QuAC_F1,HellaSwag_EM,OpenbookQA_EM,TruthfulQA_EM,MS_MARCO_(regular)_RR@10,MS_MARCO_(TREC)_NDCG@10,CNN/DailyMail_ROUGE-2,XSUM_ROUGE-2,IMDB_EM,CivilComments_EM,RAFT_EM,The_Pile_BPB,TwitterAAE_BPB,ICE_BPB,BLiMP_EM,WikiFact_EM,Synthetic_reasoning_(abstract_symbols)_EM,Synthetic_reasoning_(natural_language)_F1,bAbI_EM,Dyck_EM,GSM8K_EM,MATH_Equivalent,MATH_(chain-of-thoughts)_Equivalent_(chain_of_thought),HumanEval_(Code)_pass@1,LSAT_EM,LegalSupport_EM,Data_imputation_EM,Entity_matching_EM,BBQ_EM
Cohere-small-v20220720,0.264,0.457,0.294,0.078,0.309,0.219,0.483,0.348,0.217,NA,0.304,0.063,0.033,0.578,0.501,0.492,0.996,2.525,1.112,0.793,0.141,0.121,0,0.306,0.358,0.004,0.016,0.003,NA,0.187,0.524,0.47,0.176,0.363
Cohere-xlarge-v20220609,0.353,0.718,0.65,0.312,0.595,0.361,0.811,0.55,0.198,0.273,0.459,0.144,0.129,0.956,0.532,0.633,0.757,2.305,0.875,0.83,0.336,0.194,0,0.486,0.594,0.07,0.135,0.054,NA,0.2,0.558,0.785,0.823,0.345
Cohere-xlarge-v20221108,0.382,0.762,0.672,0.361,0.628,0.374,0.81,0.588,0.169,0.315,0.55,0.153,0.153,0.956,0.524,0.624,0.741,2.325,0.923,0.832,0.342,0.229,0,0.439,0.587,0.1,0.132,0.063,NA,0.204,0.526,0.803,0.812,0.397
GLM,0.344,0.784,0.706,0.148,0.642,0.272,NA,NA,0.218,NA,NA,0.154,0.132,0.955,0.5,0.598,NA,NA,NA,NA,0.237,0.252,0.254,0.443,0.549,0.061,0,0.059,NA,0.193,0.451,0.66,0.472,0.316
GPT-3-ada,0.243,0.581,0.326,0.082,0.365,0.242,0.435,0.38,0.215,0.102,0.29,0.09,0.022,0.849,0.517,0.423,0.96,2.395,1.136,0.818,0.124,0.1,0.088,0.306,0.406,0.006,0.046,0.006,NA,0.188,0.372,0.582,0.349,0.322
GPT-3-babbage,0.235,0.574,0.491,0.119,0.451,0.273,0.555,0.438,0.188,0.122,0.317,0.079,0.045,0.597,0.519,0.455,0.866,2.291,1.048,0.833,0.184,0.16,0.12,0.348,0.473,0.007,0.048,0.009,NA,0.261,0.492,0.599,0.632,0.319
GPT-3-curie,0.243,0.656,0.604,0.199,0.552,0.321,0.682,0.502,0.232,0.162,0.3,0.113,0.091,0.889,0.539,0.49,0.789,2.21,0.958,0.832,0.236,0.223,0.149,0.415,0.47,0.016,0.05,0.023,NA,0.18,0.49,0.811,0.453,0.362
GPT-3-davinci,0.422,0.722,0.687,0.329,0.625,0.36,0.775,0.586,0.194,0.211,0.378,0.127,0.126,0.933,0.532,0.642,0.713,2.141,0.977,0.84,0.306,0.236,0.165,0.462,0.668,0.09,0.099,0.043,NA,0.191,0.496,0.836,0.603,0.39
GPT-code-cushman-001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.341,0.164,0.481,0.451,0.049,0.099,0.072,0.317,0,0,NA,NA,NA
GPT-code-davinci-002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.54,0.684,0.686,0.805,0.568,0.41,0.433,0.463,0,0,NA,NA,NA
GPT-J,0.249,0.649,0.545,0.156,0.559,0.33,0.663,0.514,0.199,0.152,0.345,0.131,0.096,0.939,0.52,0.619,0.49,1.989,0.752,0.834,0.168,0.174,0.199,0.459,0.337,0.036,0.111,0.042,NA,0.175,0.479,0.673,0.194,0.307
GPT-NeoX,0.276,0.683,0.599,0.193,0.596,0.326,0.718,0.524,0.216,0.184,0.398,0.123,0.102,0.948,0.516,0.505,0.466,1.943,0.742,0.839,0.207,0.204,0.167,0.468,0.747,0.053,0.141,0.071,NA,0.191,0.515,0.705,0.82,0.316
InstructGPT-text-ada-001,0.238,0.464,0.238,0.025,0.149,0.176,0.429,0.346,0.232,0.134,0.302,0.136,0.034,0.822,0.503,0.406,1.61,3.505,1.975,0.728,0.119,0.063,0.145,0.226,0.161,0.004,0.02,0.001,NA,0.213,0.515,0.597,0.808,0.359
InstructGPT-text-babbage-001,0.229,0.451,0.429,0.07,0.33,0.284,0.561,0.452,0.233,0.208,0.449,0.151,0.046,0.913,0.499,0.509,1.103,2.946,1.326,0.77,0.15,0.123,0.212,0.289,0.231,0,0.016,0.007,NA,0.19,0.517,0.704,0.734,0.359
InstructGPT-text-curie-001,0.237,0.62,0.582,0.175,0.571,0.358,0.676,0.514,0.257,0.271,0.507,0.152,0.076,0.923,0.537,0.489,0.969,2.628,1.192,0.761,0.214,0.19,0.221,0.384,0.41,0.006,0.045,0.015,NA,0.172,0.442,0.791,0.852,0.342
InstructGPT-text-davinci-002,0.568,0.877,0.727,0.383,0.713,0.445,0.815,0.594,0.61,0.421,0.664,0.153,0.144,0.948,0.668,0.733,0.578,2.147,0.823,0.812,0.392,0.488,0.623,0.618,0.603,0.415,0.328,0.381,NA,0.229,0.615,0.842,0.931,0.881
InstructGPT-text-davinci-003,0.569,0.881,0.727,0.406,0.77,0.525,0.822,0.646,0.593,0.368,0.644,0.156,0.124,0.848,0.684,0.759,0.576,2.192,0.838,0.823,0.373,0.502,0.734,0.653,0.751,0.506,0.39,0.449,NA,0.233,0.622,0.839,0.93,0.862
J1-Grande-v1,0.27,0.722,0.672,0.233,0.578,0.362,0.739,0.52,0.193,0.161,0.341,0.143,0.122,0.953,0.529,0.658,0.6,2.205,0.868,0.803,0.269,0.247,0.154,0.458,0.696,0.054,0.08,0.045,NA,0.188,0.504,0.729,0.831,0.361
J1-Grande-v2-beta,0.445,0.812,0.725,0.337,0.625,0.392,0.764,0.56,0.306,0.285,0.46,0.146,0.152,0.957,0.546,0.679,0.602,2.156,0.836,0.805,0.313,0.286,0.139,0.47,0.617,0.096,0.127,0.068,NA,0.191,0.562,0.8,0.844,0.476
J1-Jumbo-v1,0.259,0.776,0.695,0.293,0.595,0.358,0.765,0.534,0.175,0.21,0.363,0.144,0.129,0.943,0.553,0.681,0.545,2.18,0.849,0.811,0.28,0.263,0.174,0.543,0.445,0.054,0.089,0.033,NA,0.232,0.484,0.735,0.841,0.378
J1-Large-v1,0.241,0.683,0.623,0.19,0.532,0.328,0.7,0.514,0.197,0.147,0.292,0.134,0.102,0.956,0.532,0.545,0.645,2.245,0.895,0.806,0.226,0.201,0.154,0.469,0.414,0.014,0.049,0.031,NA,0.196,0.514,0.729,0.827,0.352
Luminous-Base,0.27,0.719,0.605,0.202,0.568,0.334,NA,NA,0.182,NA,NA,0.11,0.105,0.939,0.544,0.473,NA,NA,NA,NA,0.275,0.209,0,0.452,0.517,0.026,0.089,0.026,NA,0.235,0.513,0.725,0.543,0.333
Luminous-Extended,0.321,0.767,0.665,0.254,0.609,0.349,NA,NA,0.221,NA,NA,0.139,0.124,0.947,0.524,0.523,NA,NA,NA,NA,0.308,0.225,0,0.475,0.666,0.067,0.111,0.035,NA,0.188,0.517,0.722,0.635,0.355
Luminous-Supreme,0.38,0.775,0.711,0.293,0.649,0.37,NA,NA,0.222,NA,NA,0.15,0.136,0.959,0.562,0.653,NA,NA,NA,NA,0.335,0.312,0,0.504,0.729,0.112,0.149,0.057,NA,0.212,0.53,0.758,0.707,0.411
OPT-175B,0.318,0.793,0.671,0.297,0.615,0.36,0.791,0.586,0.25,0.288,0.448,0.146,0.155,0.947,0.505,0.606,0.592,1.81,0.741,0.831,0.22,0.225,0.248,0.507,0.494,0.04,0.065,0.026,NA,0.22,0.532,0.722,0.374,0.347
OPT-6.7B,0.276,0.76,0.638,0.258,0.596,0.357,0.745,0.534,0.201,0.237,0.482,0.136,0.126,0.917,0.506,0.557,0.618,1.85,0.764,0.827,0.202,0.193,0.213,0.408,0.471,0.018,0.048,0.029,NA,0.175,0.527,0.718,0.466,0.355
T0pp,0.407,0,0.151,0.039,0.19,0.121,NA,NA,0.377,NA,NA,0.122,0.09,0.207,0.234,0.118,NA,NA,NA,NA,0.013,0,0.002,0,0.011,0,0,0,NA,0.186,0.611,0.004,0,0.491
T5,0.29,0.761,0.086,0.194,0.477,0.116,NA,NA,0.133,NA,NA,0.043,0.015,0.379,0.509,0.37,NA,NA,NA,NA,0.118,0.196,0.101,0.412,0.347,0.023,0,0,NA,0.159,0.558,0.624,0.652,0.312
TNLG-v2-530B,0.469,0.809,0.722,0.384,0.642,0.39,0.799,0.562,0.251,0.377,0.643,0.161,0.169,0.941,0.601,0.679,0.61,2.245,0.85,0.826,0.337,0.362,0.243,0.481,0.753,0.146,0.155,0.114,NA,0.228,0.58,0.811,0.881,0.479
TNLG-v2-6.7B,0.242,0.698,0.631,0.21,0.561,0.345,0.704,0.478,0.167,0.158,0.332,0.146,0.11,0.927,0.532,0.525,0.704,2.323,0.918,0.835,0.236,0.232,0.247,0.411,0.554,0.018,0.068,0.023,NA,0.19,0.504,0.826,0.694,0.337
UL2,0.291,0.746,0.083,0.204,0.349,0.144,NA,NA,0.193,NA,NA,0.03,0.058,0.337,0.521,0.404,NA,NA,NA,NA,0.168,0.205,0.187,0.501,0.14,0.024,0,0,NA,0.207,0.506,0.611,0.672,0.321
YaLM,0.243,0.634,0.252,0.068,0.227,0.162,NA,NA,0.202,NA,NA,0.017,0.021,0.836,0.49,0.395,NA,NA,NA,NA,0.049,0.056,0.061,0.346,0.633,0,0,0,NA,0.23,0.484,0.419,0.176,0.328
